document,topic,nm_producao,ds_resumo,gamma
5205,1,o discurso economico da modernidade notas da periferia,para elucidar o lugar ocupado pela filosofia na formacao e funcionamento do sistema cultural brasileiro paulo arantes investigou o transplante de um conjunto de metodos e tecnicas francesas transladas para os tropicos com a insolacao sofrida na linha abaixo do equador tal forma de pensar nao chegou a sofrer propriamente uma desidratacao ao contrario incorporandose a ingredientes nacionais como o espirito modernista veio sim possibilitar uma filosofia por conta e risco o mesmo ocorre nas artes plasticas onde desde a chegada de debret ao brasil o tracado de constituicao de um certo pintar em brasileiro percorre um caminho tenso entre o nosso proprio chao bruto e os ares europeus ao que nossa paleta de cores acabou por constituirse como forma adequada a uma sociedade onde a escravidao e moderna essa e portanto a trilha desta tese que assume que nos outros ramos de nossa vida intelectual tal nao e diferente nossa forma peculiar de raciocinio intelectual nosso atabalhoado tipico de nacao que se constroi pela degluticao do olhar estrangeiro e aqui assumida ela mesma como sintoma dos solavancos de nossa modernizacao periferica e e o conceito de forma no sentido hegelomarxiano o alicerce conceitual pelo qual se procura dissecar neste trabalho um ramo especifico da nossa vida intelectual qual seja o do pensamento economico e atraves dele que este trabalho procura deslindar a chave de resto imanente a todo nosso percurso de um pensar que oscila entre a critica do processo de desenvolvimento capitalista e a propria reproducao dele mesmo nao porque haja confusao no pensar mas justamente porque essa e a forma adequada a um capitalismo periferico que exige junto com sua critica solucoes de desenvolvimento e industrializacao,0.9863269131391817
10865,1,cartografias nomades ensaios de estetica e antropologia,esta tese pretende formular um conceito de nomadismo como forma de pensamento indissociavel de uma relacao com a paisagem recorrendo a fontes filosoficas etnograficas literarias e cartograficas a tese busca caracterizar um devirnomade que atravessa diferentes povos ao inves de supor uma oposicao rigida entre nomades e sedentarios ao percorrer distintas paisagens  o deserto a savana a floresta o mar e a cidade  buscase investigar como diversos povos e personagens nomades concebem o espaco e o tempo e a relacao entre os seres ou seja uma estetica e uma ontologia proprias o deserto e a savana sao atravessados pelos pastores transumantes tamacheque e wodaabe cuja relacao com o gado e com a paisagem se expressa nos sistemas de cores e cantos a floresta e percorrida pelos cacadorescoletores ache cuja relacao com os demais seres e compreendida em termos de uma predacao mutua generalizada o deserto e a floresta se sobrepoem na ilha de onde surge outro personagem conceitual o naufrago como nomade do mar a cidade tornase cenario para uma experiencia de antropologia reversa com os ache que devolvem as perguntas postas pelo pensamentoocidental do deserto a floresta passando pela savana das ilhas as cidades atravessando o mar esta tese procura cartografar paisagens nomades,0.9815133903188222
6043,1,entre provas e experimentos uma leitura wittgensteiniana das controversias em torno da prova do teorema das quatro cores,o advento do uso macico de computadores em provas matematicas ocorrido ao final da decada de setenta com a solucao de um famoso problema matematico a prova do teorema das quatro cores ocasionou disputas filosoficas que ainda hoje demandam esclarecimentos o objetivo principal da tese consiste em elaborar alguns dos referidos esclarecimentos desde uma perspectiva motivada pela filosofia da matematica de ludwig wittgenstein especialmente no que dizrespeito a distincao continuamente manuseada e depurada pelo filosofo ao longo do desenvolvimento de seu pensamento entre provas e experimentos apos apresentar as principais ideias da prova do teorema das quatro cores em termos historicos um par de distincoes conceituais metodologicamente significativas e elaborado a seguir o trabalho analisa a partir da concepcao funcional de a priori de arthur pap o argumento da introducao da experimentacao nas matematicas de thomas tymoczko a leitura das controverias filosoficas que se seguiram ao argumento de tymoczko,0.978359617357981
6895,1,james clerk maxwell e a unidade do mundo modelos e metaforas na construcao de teorias cientificas,esta e uma pesquisa sobre o uso de metaforas na construcao de modelos por parte do fisico escoces james clerk maxwell o objetivo da pesquisa foi buscar compreender de que maneira o uso de metaforas e modelos e legitimo na ciencia e em que medida contribui para seu sucesso alem disso busca compreender em que medida o uso de artificios como modelos e analogias entre ramos distintos da ciencia sao impulsionadores de sucesso explicativo e preditivo da teoria do fisico estudado explora as crencas teologicas e filosoficas do autor que ve o mundo como unidade permitindo a analogia entre ramos distintos da fisica seus desenvolvimentos em torno de teorias como calor cores optica magnetismo e eletricidade permitem evidenciar essa visao em todo o seu trabalho maxwell e considerado inaugurador de nova metodologia com o uso de modelos e metaforas explora o desenvolvimento da teoria das cores da descricao matematica da estabilidade dos aneis de saturno e o desenvolvimento da teoria dos gases como preambulo a d,0.9770846165653424
9084,1,o estudo da consciencia na perspectiva de daniel dennett,encarada como um misterio a consciencia permanece como um dos fenomenos mais enigmaticos de todo universo ha razoes para isso uma dessas razoes originase no que conhecemos como problemamentecorpo mas onde estaria o misterio sentir dores apreciar sabores contemplar cores sao estados conscientes se todos eles porem tem caracteristicas intrinsecas e inefaveis entao o que seria mais obvio do que conhecer esses estados tais caracteristicas apresentamse como uma das maiores dificuldades para estudo e compreensao deste fenomeno que e a consciencia pois como e possivel que sistemas fisicos deem origem a estes estados subjetivos aqui esta o misterio a consciencia nao parece ser redutivel a propriedades fisicas por isso a ciencia nao seria capaz de fornecer uma explicacao suficiente ja que a subjetividade nao adequase a objetividade da ciencia como estudala se ela nao parece acessivel ao metodocientifico tradicional o desafio e conseguir analisar as caracteristicas nao analisaveis pela cienc,0.9760612175017094
252,2,matemµtica e filosofia na crotica da razco pura,a filosofia kantiana estµ operando um deslocamento nos conceitos de matemµtica e de filosofia frente sua concepco clµssica o principal sintoma desse deslocamento se encontra na separaco e na autonomia dos seus mtodos nco hµ mais a possibilidade de formular um paratesco mesmo analagico entre os procedimentos do matemµtico e do filasofo se esse o sintoma as suas causas se distribuem numa srie coerente d e teses que a filosofia kantiana vai assumindo no discurso da crotica da razco pura a primeira dessas teses o carµter construtivo da matemµtica colocase com ele um paralelismo entre o trabalho do enten µ diferenciarse do matemµtico por virtude da sua forma essa segunda tese kantiana assume sua forma mais completa e mais significativa uma vez que se torna explocita a relaco disso com a teoriakantiana do juozo mostrarseµ que a concepco do juozo e as suas implicaaes na anµlise dos princopios o pilar da separaco entre matemµtica e filosofia,0.9785476951657845
324,2,problemas e seus problemas a estrutura e a dinmica da cincia vistas sob o enfoque de soluaeo de problemas,neste trabalho sco realizadas uma apresentaco e uma anµlise crotica comparativa de toda uma classe de modelos filosaficos sobre a cioncia a saber os modelos que podem ser considerados como pertencentes ao ch amado enfoque de soluco de problemas esp o esp a concepco segundo a qual a cioncia essencialmente uma atividade de soluco de problemas e a anµlise da cioncia deve ser feita nco apenas em termos de te orias cientoficas mas sim em termos de dois tipos igualmente fundamentais de unidades epistomicas teorias e problemas o presente trabalho procura rastrear as consequoncias epistemologicamente interessantes onfase mais lagica e filosafica do que historiogrµfica ou sociolagica ao longo do texto sco abordadas questaes como o problema de se definir o que um problema cientofico a questco da individuaco dos pr oblemas o que significa solucionar um problema problemas cientoficos e seus contextos a toxonomia dos problemas cientoficos problemas conceituais a busca de um cµlculo ou medida da capacidade das teorias p ara solucionar problemas e finalmente o comportamento do esp diante de temas epistemolagicos como o realismo o progresso cientofico,0.9776686591026972
261,2,tradico e modernidade no mavel brasileiro visaes da utopia na obra de carrera tenreiro zanine e srgio rodrigues,reflexco sobre as origens e desenvolvimento do design no brasil no setor do mobiliµrio anµlise de quatro tendoncias bµsicas que esclarecem sobre mtodos empregados no projeto e execuco da mobolia moderna co rrespondendo a diferentes soluaes formais e tecnolagicos essas tendoncias presentes na obra de celso carrera joaquim teureiro jos zanine lado e srgio rodrigues possibilitam compreender a passagem do artesanato e semi artesanato muitas vezes domstica para a indestria de pequena e mdia srie a transformaco do marceneiroartesco ou do arquiteto em designer identificar no processo de modernizaco,0.9768911630867753
8429,2,o no corpvs vitruvio e as estruturas do universo no tratado de arquitetura,a pesquisa investiga a arquitetura do universo tal como proposta por vitruvio no seculo i ac sao apresentadas as artes e disciplinas da arquitetura vinculadas as praticas da gnomonica e o contexto que envolve o arquiteto na antiguidade tal como alguns aspectos politicos e religiosos que integram o discurso das estruturas do universo descritas no tratado de arquitetura sao desenvolvidas as questoes que envolvem o livro como objeto traduzido e transformado ao longo de milhares de anos e algumas reflexoes quanto aos desenhos e as pinturas mencionadas na obra tambem temos os comentarios e desenvolvimentos das questoes quanto a cosmologia junto as elaboracoes de mapas e ilustracoes a partir do conteudo descrito pelo arquiteto foram pesquisadas as teorias de autores que antecedem o periodo da obra e que forneceram os ensinamentos para a execucao das enxertias de vitruvio assim como tambem se buscou aplicar os termos que sao apresentadas como definicoes constitutivas da arquitetura ao considerarmos o livro c,0.9733623573087032
1845,2,aportes y limitaciones en la filosofia teorica del neopragmatismo de richard rorty,a tese comeca realizando uma analise de a filosofia e o espelho da natureza no aspecto da construcao historica do paradigma da filosofia epistemologicamente centrada caps e sua consumacao na filosofiaanalitica contemporanea caps e apos cap analisase e avaliase a concepcao do rorty sobre a verdade e o relativismo com especial referencia a sua polemica com h putnam procurando esbocar cap uma posicao afim a este ultimo mas que recolhe insumos da teoriacritica e da pragmatica da linguagem de habermas no cap aprofundase a analise e a avaliacao da concepcao rortyana da verdade e da representacao e sua recente polemica ao respeito com d davidson o ultimo capitulo sistematiza e avalia suas concepcoes e implicacoes metafilosoficas desde o liguistic turn ate contingencia ironia e solidariedade a tese geral que se procura mostrar e que sem desmedro dos meritos da sua reconstrucao historica de seu desenvolvimento de algumas teses pragmatistas e da oportuna tematizacao das repercussoes metafilosoficas da filosofia posempirista rorty em sua afa de critica as concepcoes metafisicas da verdade e por prescindencia de uma real concepcao alternativa naometafisica cai em um problematico contextualismo extremo sua negacao de todo referente normativo pluscontextual ainda os naometafisicos pressupostos pragmaticos da comunicacao que procuro mostrar possibilitam outras solucoes e autoconcepcoes o conduz a uma antiepistemologia cetica por negacao abstrata a uma hipostasis dos vocabularios e a uma metafilosofia liquidacionista que deriva bem em um reciclacionismo prefilosofico bem em uma perpetua releitura dos classicos pouco propria de um pensador historicista e progressista do comeco do seculoxxi,0.9589289218813827
