document,topic,nm_producao,ds_resumo,gamma
3334,1,adorno e horkheimer a teoria critica como projeto de emancipacao,a dissertacao sob o tema adorno e horkheimer a teoriacritica como projeto de emancipacao retoma os textos de adorno e horkheimer investigando o pensamento desses autores enquanto reflexao acerca da sociedade burguesa a partir dos elementos postos pelo pensamentomoderno alicercado na afirmacao da razao e na promessa de emancipacao do homem das amarras dos mitos e do suprasensivel a reflexao acerca da razao iluminista e do confronto entre a teoria tradicional e a teoriacritica enquanto instancia critica do processo que nasceu na modernidade cujo resultado e a instrumentalizacao da razao sua submissao a tecnica ou seja o processo de dominacao da natureza hostil perpassa o trabalho dos autores como um resgate do projeto originariamente emancipatorio da razao iluminista a investigacao tem como eixo central a analise de obras como teoria tradicional e teoriacritica dialetica do esclarecimento e diversas obras menores que correspondem as tres fases de desenvolvimento do pensamento deles na fase inicial os autores estavam ligados a ideia de uma possivel emancipacao atraves de uma revolucao proletaria na segunda ha uma descrenca na possibilidade de transformacao seus textos sao do periodo do exilio americano a terceira fase e marcada pela critica do mundo administrado em que sobressaem a critica cultural e da educacao e a busca de saidas consideradas por seus criticos como aporias as principais questoes abordadas podem ser sintetizadas na relacao entre a teoria tradicional e a teoriacritica e no seu reconhecimento da transformacao da razao em razaoinstrumental a questao da dialetica do esclarecimento em que se da a sobreposicao da dominacao sobre a emancipacao revelada sobretudo no eclipsamento do sujeito no antissemitismo e na manipulacao da cultura e da informacao pelo poder da industriacultural e por fim as questoes em que sao pontuados os elementos que vinculam a teoriacritica a emancipacao dessa forma a critica se inscreve no exame do processo civilizatorio entendido como paulatino movimento em direcao a dominacao da natureza e do homem natureza externa e interna expressa pela teoria tradicional que redunda na instrumentalizacao da razao esse estudo permitiu ver na proposta da educacao contra a barbarie da educacao para uma consciencia verdadeira da educacao para a sensibilidade na formacao contra a semiformacao no progresso como desenvolvimento da humanidade enfim numa educacao para a emancipacao elementos que sobrevindos da critica dao guarida a um projeto de emancipacao,0.9906975639072271
8296,1,a formacao emancipatoria em adorno e a primazia provisoria da resistencia sobre a adaptacao no contexto educativo,oliveira luana aparecida de a formacao emancipatoria em adorno e a primazia provisoria da resistencia sobre a adaptacao no contexto educativo p dissertacao mestrado em filosofia universidade estadual do oeste do parana toledo resumo esta dissertacao pretende apresentar a concepcao adorniana de educacao e a partir dela realizar um confronto critico com a de educacao vigente no capitulo intitulado a proposta adorniana de uma educacao emancipatoria e os pressupostos necessarios para tal condicao veremos que para theodor w adorno a educacao somente tem sentido quando voltada para uma formacao que seja emancipatoria no sentido de se tornar o lugar social da tematizacao do naoidentico e de proporcionar experiencias formativas capazes de contribuirem com o desenvolvimento autonomo e critico dos individuos para tanto ha os pressupostos que segundo nossa leitura do autor sao condicoes de possibilidade para que ocorra o processo emancipatorio sendo que um fator importante para esta formacao dizrespeito a tensao entre a adaptacao e a resistencia porem no capitulo critica a educacao vigente a partir dos fundamentos filosoficos adornianos e analisada a educacao atual e constatado que por ela estar situada em uma sociedadecapitalista o conjunto de suas praticas pedagogicas reforca em grande medida a adaptacao a realidade que se apresenta desta forma podemos afirmar que neste contexto educativo nao ocorre a tensao necessaria para a formacao emancipatoria uma vez que ha o demasiado predominio da adaptacao sobre a resistencia a partir do referencial teorico de adorno sao elencados alguns elementos que contribuem para o fortalecimento unilateral do polo adaptativo na formacao a saber a barbarie por meio do ensino pela dureza isto e pela repressao e pelo medo a razaoinstrumental e a industriacultural do conjunto destes elementos resulta o modelo ideologico da semiformacao ou seja a deformacao da formacao por fim diante dessa problematica uma possivel alternativa e elaborada no capitulo a primazia provisoria da resistencia no contexto educativo sendo defendido que a esfera educacional possui o compromisso social de priorizar a resistencia assim o objetivo e indicar as condicoes de possibilidade da educacao fomentar as varias formas de resistencia para que entao neste processo o proposito da formacao emancipatoria possa ser fortalecido,0.9892480129271612
8047,1,o paradoxo da razao na dialetica do esclarecimento,meu objeto de estudo e a analise do conceito de esclarecimento na filosofia de theodor w adorno pretendo com este trabalho obter elementos que apontem uma possivel saida para o paradoxo ocorrido com o processo de esclarecimento na civilizacao ocidental que segundo os autores tem seu germe desde os primordios da humanidade e instaurou um quadro de dominacao da natureza e dos homens culminando na destruicao do individuo e de suas expectativas iluministas da promocao de melhores condicoes de vida e do bemestar humanos esta analise se dara a partir do estudo de alguns textos de adorno como educacao e emancipacao teoria da semicultura e em especial a obra dialetica do esclarecimento escrita conjuntamente por theodor adorno e max horkheimer refazendo o percurso criado por eles nesta ultima obra procurarei apontar trechos que nos indicam ainda que de modo sutil que a preocupacao de ambos os autores nao era a de apenas criticar a civilizacao ocidental do periodo em que viveram mas sim a de denunciar o rumo da humanidade esclarecida pretendo tambem mostrar que ao contrario do que diz a critica acima eles se preocuparam em pensar e apontar meios que pudessem livrar os homens da dominacao sofrida e proporcionar a estes uma vida autonoma e consciente do status quo com esse apontamento pretendo refutar a fama de pessimistas atribuida a eles pretendo ainda mostrar de que maneira essa saida seria possivel sem contradicao uma vez que esta parece ser uma aporia pois na obra ao mesmo tempo que o processo de esclarecimento da civilizacao ocidental e considerado pelos autores como o responsavel pela dominacao sofrida pelos homens pela nao promocao da autonomia e bemestar humanos e tambem pelo regresso da humanidade a barbarie devido a auschwitz parece tambem considerado pelos autores como a unica solucao possivel para os problemas causados por ele pelo esclarecimento,0.9887023455096247
590,1,sobre o conceito de sacrificio na dialetica do esclarecimento,na dialetica do esclarecimento adorno e horkheimer sustentam a tese de que mito e esclarecimento mantem entre si nao uma simples relacao de oposicao como postulado pelo pensamento iluminista mas antes uma relacao dialetica de modo que o mito ja comporta algo da racionalidade autoconservadora do esclarecimento enquanto permanece no esclarecimento um nucleo de irracionalidade mitica que termina por reconduzilo a barbarie na explicitacao dessa relacao aparecem como centrais os conceitos de sacrificio e de renuncia esta ultima entendida como interiorizacao daquele primeiro porquanto podem revelar segundo a argumentacao dos autores tanto a unidade quanto a diferenca da natureza e do dominio esclarecido da natureza dialetica p dominio este que se exerce nao apenas sobre a natureza extrahumana mas tambem e sobretudo sobre a natureza num processo que os autores denominam introversao do sacrificio e que se constitui como ponto de reves do esclarecimento em mito o sacrificio em sua dupla articulacao com a astucia e com a renuncia apresentase assim como sendo o indice da inverdade do mito ao expor seu carater racional quanto do esclarecimento ao expor seu carater mitico numa tentiva de refletir sobre o papel de tais conceitos na articulacao interna da dialetica tomamolos como objeto do nosso trabalho partindo de uma visao em retrospectiva das principais obras e autores referenciados por adorno e horkheimer procuramos verificar quais pressupostos teoricos assentaram as bases dos conceitos em questao como sao eles utilizados na construcao da estrategia argumentativa da dialetica e qual a importancia que assumem para a ideia central que a perpassa a saber o entrelacamento entre mythos e logos como complemento do trabalho buscamos ainda vislumbrar outras possibilidades de leitura do fenomeno do sacrificio sem nenhuma pretensao de esgotala ou tornalas conclusivas,0.9861824921194242
8184,1,o problema da reduplicacao do cotidiano na industria cultural segundo theodor adorno,nosso objetivo e tratar da reduplicacao da realidade empirica que a industriacultural produz em determinados produtos conforme a concepcao de theodor adorno apresentaremos a concepcao do autor sobre a industriacultural destacando como ela fabrica mercadorias voltadas para uma diversao com fins de distracao acritica cujo conteudo muitas vezes seria uma duplicata do cotidiano das pessoas e no qual sao veiculados os valores e padroes de comportamento e consumo que predominam no capitalismo tardio nossa hipotese e de que a reduplicacao da realidade empirica nas mercadorias culturais audiovisuais expressa a utilizacao da tecnologia no ambito da industriacultural visando atingir seus objetivos em especial alimentar o consumo e manter a situacao social vigente buscaremos mostrar como o desenvolvimento dos meios de comunicacao em massa e a maestria com seus recursos audiovisuais sao aplicados nas mercadorias culturais possibilita uma reproducao da realidade com perfeicao cada vez maior e como essa duplicata do mundo seria utilizada pela industriacultural como expediente para induzir que seus consumidores passem a aderir ou mesmo interiorizar os valores e padroes de comportamentos voltados ao consumo e fins ideologicos veiculados no interior de seus produtos,0.9840167907829379
7854,2,riso e arte comica em bergson,essa disessa dis essa disessa disessa dis sertacao tem como objeto o significado do riso e da comicidade propostos sertacao tem como objeto o significado do riso e da comicidade propostos sertacao tem como objeto o significado do riso e da comicidade propostos sertacao tem como objeto o significado do riso e da comicidade propostos sertacao tem como objeto o significado do riso e da comicidade propostos sertacao tem como objeto o significado do riso e da comicidade propostos sertacao tem como objeto o significado do riso e da comicidade propostos sertacao tem como objeto o significado do riso e da comicidade propostos sertacao tem como objeto o significado do riso e da comicidade propostos sertacao tem como objeto o significado do riso e da comicidade propostos sertacao tem como objeto o significado do riso e da comicidade propostos sertacao tem como objeto o significado do riso e da comicidade propostos sertacao tem como objeto o significado do riso e da comicidade propostos sertacao tem como objeto o significado do riso e da comicidade propostos sertacao tem como objeto o significado do riso e da comicidade propostos sertacao tem como objeto o significado do riso e da comicidade propostos sertacao tem como objeto o significado do riso e da comicidade propostos sertacao tem como objeto o significado do riso e da comicidade propostos sertacao tem como objeto o significado do riso e da comicidade propostos sertacao tem como objeto o significado do riso e da comicidade propostos sertacao tem como objeto o significado do riso e da comicidade propostos sertacao tem como objeto o significado do riso e da comicidade propostos sertacao tem como objeto o significado do riso e da comicidade propostos sertacao tem como objeto o significado do riso e da comicidade propostos sertacao tem como objeto o significado do riso e da comicidade propostos sertacao tem como objeto o significado do riso e da comicidade propostos sertacao tem como objeto o significado do riso e da comicidade propostos sertacao tem como objeto o significado do riso e da comicidade propostos sertacao tem como objeto o significado do riso e da comicidade propostos sertacao tem como objeto o significado do riso e da comicidade propostos sertacao tem como objeto o significado do riso e da comicidade propostos sertacao tem como objeto o significado do riso e da comicidade propostos sertacao tem como objeto o significado do riso e da comicidade propostos sertacao tem como objeto o significado do riso e da comicidade propostos sertacao tem como objeto o significado do riso e da comicidade propostos sertacao tem como objeto o significado do riso e da comicidade propostos sertacao tem como objeto o significado do riso e da comicidade propostos sertacao tem como objeto o significado do riso e da comicidade propostos sertacao tem como objeto o significado do riso e da comicidade propostos sertacao tem como objeto o significado do riso e da comicidade propostos sertacao tem como objeto o significado do riso e da comicidade propostos sertacao tem como objeto o significado do riso e da comicidade propostos sertacao tem como objeto o significado do riso e da comicidade propostos sertacao tem como objeto o significado do riso e da comicidade propostos sertacao tem como objeto o significado do riso e da comicidade propostos sertacao tem como objeto o significado do riso e da comicidade propostos sertacao tem como objeto o significado do riso e da comicidade propostos sertacao tem como objeto o significado do riso e da comicidade propostos sertacao tem como objeto o significado do riso e da comicidade propostos sertacao tem como objeto o significado do riso e da comicidade propostos sertacao tem como objeto o significado do riso e da comicidade propostos sertacao tem como objeto o significado do riso e da comicidade propostos sertacao tem como objeto o significado do riso e da comicidade propostos sertacao tem como objeto o significado do riso e da comicidade propostos sertacao tem como objeto o significado do riso e da comicidade propostos pelo filosofo frances henripelo filosofo frances henripelo filosofo frances henri pelo filosofo frances henripelo filosofo frances henri pelo filosofo frances henripelo filosofo frances henri pelo filosofo frances henri pelo filosofo frances henripelo filosofo frances henripelo filosofo frances henri pelo filosofo frances henripelo filosofo frances henri pelo filosofo frances henri pelo filosofo frances henripelo filosofo frances henripelo filosofo frances henripelo filosofo frances henri louis bergson louis bergson louis bergson louis bergson louis bergson louis bergson louis bergson louis bergson louis bergson louis bergson louis bergson louis bergson louis bergson louis bergson louis bergson em sua obra em sua obra em sua obra em sua obra em sua obra em sua obra em sua obra em sua obra em sua obra em sua obra em sua obra em sua obra em sua obra em sua obra o riso o riso o riso ensaio ensaio ensaio ensaio ensaio ensaio ensaio sobre a significacao da comicidade nossa investigacao visa especificamente sobre a significacao da comicidade nossa investigacao visa especificamente sobre a significacao da comicidade nossa investigacao visa especificamente sobre a significacao da comicidade nossa investigacao visa especificamente sobre a significacao da comicidade nossa investigacao visa especificamente sobre a significacao da comicidade nossa investigacao visa especificamente sobre a significacao da comicidade nossa investigacao visa especificamente sobre a significacao da comicidade nossa investigacao visa especificamente sobre a significacao da comicidade nossa investigacao visa especificamente sobre a significacao da comicidade nossa investigacao visa especificamente sobre a significacao da comicidade nossa investigacao visa especificamente sobre a significacao da comicidade nossa investigacao visa especificamente sobre a significacao da comicidade nossa investigacao visa especificamente sobre a significacao da comicidade nossa investigacao visa especificamente sobre a significacao da comicidade nossa investigacao visa especificamente sobre a significacao da comicidade nossa investigacao visa especificamente sobre a significacao da comicidade nossa investigacao visa especificamente sobre a significacao da comicidade nossa investigacao visa especificamente sobre a significacao da comicidade nossa investigacao visa especificamente sobre a significacao da comicidade nossa investigacao visa especificamente sobre a significacao da comicidade nossa investigacao visa especificamente sobre a significacao da comicidade nossa investigacao visa especificamente sobre a significacao da comicidade nossa investigacao visa especificamente sobre a significacao da comicidade nossa investigacao visa especificamente sobre a significacao da comicidade nossa investigacao visa especificamente sobre a significacao da comicidade nossa investigacao visa especificamente sobre a significacao da comicidade nossa investigacao visa especificamente sobre a significacao da comicidade nossa investigacao visa especificamente sobre a significacao da comicidade nossa investigacao visa especificamente sobre a significacao da comicidade nossa investigacao visa especificamente sobre a significacao da comicidade nossa investigacao visa especificamente sobre a significacao da comicidade nossa investigacao visa especificamente sobre a significacao da comicidade nossa investigacao visa especificamente sobre a significacao da comicidade nossa investigacao visa especificamente sobre a significacao da comicidade nossa investigacao visa especificamente sobre a significacao da comicidade nossa investigacao visa especificamente sobre a significacao da c,0.997294740132964
5888,2,estimulos proximais e distaisas criticas de davidson a quine,ha aproximados trinta anos iniciouse um debate entre os filosofos w v o quine e ddavidson a respeito de onde deveria ser situado na cadeia causal mundofalante o elementoque determina o significado empirico de frases de observacao doravante chamarsea talelemento de estimulo de acordo com quine que sustenta o que se pode chamar deconcepcao proximal tal estimulo estaria localizado na superficie sensorial do falante ouseja em posicao proxima a este em referida cadeia causal estimulo proximal davidsonpor outrolado critica a concepcao proximal pelo fato de que a mesma nao seria capaz deexplicar a natureza publica da linguagem e sugere a quine seu abandono em prol daconcepcao distal por ele proprio sustentada conforme a qual tal estimulo estaria situado nosproprios objetos e eventos sobre os quais falam as frases isto e em posicao maibs distante dofalante estimulo distal a despeito da sugestao de davidson quine insiste ate o final de suaobra em nao adotar oficialmente a concepcao distal introduzindo contudo algumasmodificacoes em sua concepcao a fim de escapar as criticas procedidas por aquele autortendo em vista essa divergencia entre os dois autores a presente dissertacao tem comoobjetivo proceder a reconstrucao e avaliacao desse debate ha que se ressaltar antes de tudoque quine e um filosofo muito sistematico e que suas teses estao intimamente conectadasentre si de modo que se faz necessaria uma visao mais geral de sua filosofia sempre que sedeseja entender um problema especifico que se encontra nela inserido sob pena de prejudicara adequada compreensao do mesmo por essa razao este trabalho sera dividido em duaspartes principais a primeira delas sera reservada a tentativa de situar o problema central quesera nele examinado no bojo mais amplo da filosofia quineana como um todo enquanto asegunda parte sera dedicada propriamente a reconstrucao do debate a conclusao a que sechega e que a formulacao final da concepcao de quine pode ser considerada satisfatoria comosolucao de muitos problemas da formulacao inicial da concepcao proximal desde se siga asugestao de lars bergstrom e se entenda que o significado de uma frase de observacao deveconsistir nas disposicoes de um sujeito para assentir ou dissentir a ela em vez de identificar osignificado com o conjunto de estimulos proximais que o falante vincula a ela ademais pormais que seja possivel levantar objecoes contra a solucao final de quine ela pode serconsiderada a saida mais adequada aos problemas da concepcao proximal quando comparadaa sugestao feita por davidson uma vez que a adocao da concepcao distal nao seria satisfatoriapara os propositos filosoficos de quine,0.9916033852346791
4156,2,dependencia de objeto e a ilusao de compreender,o descompasso entre linguagem e pensamento reconhece a possibilidade de falantes se iludirem acerca dos pensamentos que apreendem ao pretender compreender proferimentos de certas frases a partir do exame da independencia de objeto de proposicoes quantificadas e mostrado por que essa possibilidade e contornada pela semantica das descricoes definidas tal como elucidada pela teoria das descricoes de russell as condicoes epistemologicas da compreensao de descricoes nao exigem que se conheca o objeto descrito e nem mesmo que exista um tal objeto para que seja possivel a apreensao de proposicoes quantificadas em contraposicao a semantica das expressoes referenciais que considera que objetos figuram nas condicoes de verdade de frases em que ocorrem expressoes referenciais implica a dependencia de objeto de pensamentos singulares nao ha qualquer pensamento para ser expresso ou considerado pelo proferimento de frases em que figuram expressoes referencias que a nada refiram a pretensao de compreender proferimentos de frases cuja compreensao e impossivel se revela entao como uma ilusao de compreender essa frase contudo a formulacao de condicoes necessarias para a compreensao de expressoes referenciais nao e capaz de justificar a impossibilidade de compreender frases que nao expressam proposicoes uma vez que a formulacao das condicoes epistemicas necessarias da compreensao da referencia e ela mesma dependente de objeto reconhecido o falibilismo inerente a compreensao linguistica e os limites de uma teoria da compreensao a dissertacao termina por questionar a estrategia mesma de derivar apenas de padroes inferenciais as condicoes necessarias da compreensao e da comunicacao ao propor um relaxamento dessas condicoes sugere que se reconheca a deferencia linguistica como um modo autentico de compreensao,0.9868892010226682
7954,2,a elaboracao do conceito de objeto na obra de donald w winnicott,o objetivo desta dissertacao e fazer uma apresentacao do conceito winnicottiano de objeto subjetivo buscando caracterizar seu significado e abrangencia na teoria do amadurecimento pessoal com essa finalidade primeiramente utilizo a introducao para situar o conceito e sua relacao com outros conceitos usados por winnicott para descrever segundo sua visao os fenomenos que ocorrem no estagio primitivo isto e que antecede a separacao entre o bebe e a mae em seguida faco um breve relato do historico profissional do autor buscando destacar as ideias e posturas que me parecem relacionarse com a necessidade da elaboracao desse conceito no primeiro capitulo falo mais diretamente do conceito caracterizando o sentido que possuia quando utilizado pela primeira vez em seguida apresento a ampliacao do seu significado quando winnicott propoe o conceito de elemento feminino puro finalizo esse capitulo tentando caracterizar os diferentes modos que o autor utiliza o conceito em alguns artigos no capitulo segundo falo das implicacoes teoricas que decorrem desse conceito e para isso divido o capitulo em tres itens no primeiro aponto os diferentes sentidos com que winnicott utiliza o conceito de objeto dentro da teoria do amadurecimento ou seja objeto subjetivo transicional uso do objeto e objetivamente percebido no segundo item faco a distincao do conceito de objeto subjetivo quanto a outros sentidos do termo objeto que pertencem ao jargao psicanalitico tradicional no item final do capitulo apresento outras implicacoes teoricas que decorrem das inovacoes introduzidas por esse conceito na medida em que ele se refere a fenomenos desconhecidos ou nunca estudados pela psicanalise tradicional no capitulo terceiro apresento as implicacoes do conceito na area clinica buscando caracterizar os diversos conceitos tradicionais da psicanalise que sao afetados pelas implicacoes decorrentes desse conceito e aqueles inovadores trazidos pela clinica winnicottiana no capitulo quarto faco uma breve apresentacao do conceito de objeto subjetivo segundo a visao dos poucos autores que na literatura secundaria descrevem o conceito ou apenas o mencionam,0.9854245880538656
5931,2,sobre a normatividade do significado uma pseudorestricao a semantica naturalizada,o presente trabalho pretende discutir um problema bastante recente em filosofia da linguagem a saber o problema da normatividade do significado o locus fundamental da discussao e a posicao de saul kripke exposta em wittgenstein on rules and private language cujo ingrediente principal e a ideia de que o significado e uma nocao intrinsecamente normativa diversos filosofos tem assumido esta posicao como uma especie de restricao preteorica para avaliar teorias razoaveis descartando todas aquelas que nao possam acomodar de algum modo a restricao de kripke o que anima o debate contemporaneo a este respeito e justamente a possibilidade de inviabilizar qualquer abordagem descritivista e naturalista do significado com base na alegacao de que tais abordagens ou nao conseguem oferecer uma explicacao plausivel do sentido relevante de normatividade ou nao conseguem garantir um criterio razoavel de correcao semantica o objetivo geral deste trabalho e mostrar que a partir da posicao de wittgenstein nas investigacoesfilosoficas nao e absolutamente necessario assumir tal restricao ja que em multiplos sentidos ela parece mesmo contradizer nossas intuicoes ordinarias a respeito das nocoes de significado e uso este trabalho pretende mostrar em outras palavras que a restricao de normatividade e particularmente inofensiva para um modelo de semantica naturalizada a estrategia geral consistira em negar a hipotese de que o significado seja uma nocao intrinsecamente normativa e mostrar que seus aspectos normativos relevantes podem ser imediatamente derivados de certas regularidades basicas de uso,0.9832152128431093
