document,topic,nm_producao,ds_resumo,gamma
1441,1,da dromologia paul virilio e a poetica do movimento,a crise da habilidade contemporanea denuncia um desapego ao espaco com efeito no decorrer da movencia humana articulouse pari passu um a busca veicular que parece agora colocar em cheque a propria mola dessa movimentacao ou seja aquela da trajetividade humana aproximouse as tecnicas buscase uma instrumentalizacao que nao deixa duvidas sobre a crenca nas bemaventurancas do carater protetico da acaohumana ao tranquilizarse prematuramente com o suposto aspecto libertario da substituicao mecanica nessa acao o homem deixase invadir pelo sonho inercial imaginario de um naolugar outopos quando a velocidade tecnologica tornase paulatinamente mediadora plenipotenciaria do deslocamento como assegurar em concomitancia a permanencia e a integridade do espaco imaginario no homem em que ponto a crise da ocupacaoorientacao espacial desencadeia a crise da significacaosentido temporal ao permitir a coabitacao de um tempo de paz e de um tempo de guerra abrimos mao de uma intervencao politica no perimetro espacial tanto concreto quanto imaginario da cidadeterra assim contornosarquitetonicos da polis e expressoes imaginarias de um ideal politico parecem fazer unissono a sentimentacao de uma guerra total que responde inconteste a uma politica da velocidadeao consumoconsumicao do espaco devese resistir atraves da critica do espaco essa critica deve poder dar luga a uma arquitetura do vivido e dissolver no espaco das transgressoes e atraves da variabilidade dos usos os atuais sistemas politicos bem como transformar o espaco e a atividade socialsem o espaco do percurso desaparece o lugar a supracondutibilidade dos meios acrescida da sua hipercomunicabilidade levamnos a uma concentracao do poder e quando politica tornase uma balisticae a geopolitica uma estrategia urge que estabelecamos o trajeto de uma analise para essa incontinenciaveicular do ocidenteindustrial urge que conclamemos a dromologia,0.971034599988943
190,1,o pensamento ecletico na provincia do rio de janeiro,a tese tem por objetivo estudar alguns aspectos da doutrina de victor cousin e suas repercussoes no pensamento da elite dirigente brasileira tomandose como espao a provincia do rio de janeiropor sua impo rtancia historicopoliticoculturalpara se caracterizar o estado da questao buscouse os antecedentes do ecletismo ou do espiritualismo ecletico de victor cousin no pensamento de leibniz dos luministasdos doutrinarios e dos ideologos e na filosofa espiritualista de maine de biran face e recentes estudos que questionam o ecletismo de gonalves de magalhaes esta pesquisa refora a compreensao de que o filosofo f letico na provincia do rio de janeiro considerandose alguns aspectos de sua formaao as correntes de pensameto que antecederam o ecletismo e os temas privilegiados para discussao que ocuparam a meditaao d os atores politicos do imperio,0.9330430979173351
5205,1,o discurso economico da modernidade notas da periferia,para elucidar o lugar ocupado pela filosofia na formacao e funcionamento do sistema cultural brasileiro paulo arantes investigou o transplante de um conjunto de metodos e tecnicas francesas transladas para os tropicos com a insolacao sofrida na linha abaixo do equador tal forma de pensar nao chegou a sofrer propriamente uma desidratacao ao contrario incorporandose a ingredientes nacionais como o espirito modernista veio sim possibilitar uma filosofia por conta e risco o mesmo ocorre nas artes plasticas onde desde a chegada de debret ao brasil o tracado de constituicao de um certo pintar em brasileiro percorre um caminho tenso entre o nosso proprio chao bruto e os ares europeus ao que nossa paleta de cores acabou por constituirse como forma adequada a uma sociedade onde a escravidao e moderna essa e portanto a trilha desta tese que assume que nos outros ramos de nossa vida intelectual tal nao e diferente nossa forma peculiar de raciocinio intelectual nosso atabalhoado tipico de nacao que se constroi pela degluticao do olhar estrangeiro e aqui assumida ela mesma como sintoma dos solavancos de nossa modernizacao periferica e e o conceito de forma no sentido hegelomarxiano o alicerce conceitual pelo qual se procura dissecar neste trabalho um ramo especifico da nossa vida intelectual qual seja o do pensamento economico e atraves dele que este trabalho procura deslindar a chave de resto imanente a todo nosso percurso de um pensar que oscila entre a critica do processo de desenvolvimento capitalista e a propria reproducao dele mesmo nao porque haja confusao no pensar mas justamente porque essa e a forma adequada a um capitalismo periferico que exige junto com sua critica solucoes de desenvolvimento e industrializacao,0.9323990480951652
10865,1,cartografias nomades ensaios de estetica e antropologia,esta tese pretende formular um conceito de nomadismo como forma de pensamento indissociavel de uma relacao com a paisagem recorrendo a fontes filosoficas etnograficas literarias e cartograficas a tese busca caracterizar um devirnomade que atravessa diferentes povos ao inves de supor uma oposicao rigida entre nomades e sedentarios ao percorrer distintas paisagens  o deserto a savana a floresta o mar e a cidade  buscase investigar como diversos povos e personagens nomades concebem o espaco e o tempo e a relacao entre os seres ou seja uma estetica e uma ontologia proprias o deserto e a savana sao atravessados pelos pastores transumantes tamacheque e wodaabe cuja relacao com o gado e com a paisagem se expressa nos sistemas de cores e cantos a floresta e percorrida pelos cacadorescoletores ache cuja relacao com os demais seres e compreendida em termos de uma predacao mutua generalizada o deserto e a floresta se sobrepoem na ilha de onde surge outro personagem conceitual o naufrago como nomade do mar a cidade tornase cenario para uma experiencia de antropologia reversa com os ache que devolvem as perguntas postas pelo pensamentoocidental do deserto a floresta passando pela savana das ilhas as cidades atravessando o mar esta tese procura cartografar paisagens nomades,0.9278632461472273
10533,1,aspectos constitutivos do conhecimento cientifico a partir da teoria funcional do a priori,o objetivo dessa dissertacao e apresentar contextualizar e reinserir no debate contemporaneo a teoria funcional do a priori de arthur pap para atingir tal proposito buscase realizar uma reconstrucao racional e apropriacao critica da teoria a proposta consiste numa reconstrucao dos argumentos de arthur pap que visa nao apenas aclarar sua posicao mas aprimorala explorando possibilidades nao levadas em consideracao pelo autor tratandose de um autor pouco conhecido apresentase uma breve biografia intelectual na forma de um apendice ao fim da exposicao com olhar direcionado mais diretamente ao passado buscase mostrar os antecedentes teoricos relevantes para a compreensao acerca da questao em torno da adesao racional aos principios constitutivos da ciencia e da estrategia adotada a partir das teorias ditas alternativas do a priori stump as vezes tambem denominadas constitutivistas shaffer complementarmente sao expostas algumas premissas metodologicas acerca da tarefa de reconstituicao de argumentos e reconstrucao de contextos intelectuais tendo feito isso partese para a reconstituicao e tentativa de aprimoramento propriamente dita da teoria funcional do a priori o que ocupa a maior parte do texto por fim com um olhar mais diretamente direcionado ao presente a teoria funcional do a priori e reinserida nas discussoes contemporaneas de modo a investigar a atualidade da proposta isso se da de dois modos primeiro respondendo a uma critica contemporanea ao constitutivismo de que a posicao nao da conta de explicar a revisao racional do que postula os denominados principios constitutivos segundo e oferecido um contraste com duas formas de empirismo alternativas uma atrelada a teoria funcional do a priori e uma atrelada a ideias quineanas,0.9205049554086013
252,2,matemµtica e filosofia na crotica da razco pura,a filosofia kantiana estµ operando um deslocamento nos conceitos de matemµtica e de filosofia frente sua concepco clµssica o principal sintoma desse deslocamento se encontra na separaco e na autonomia dos seus mtodos nco hµ mais a possibilidade de formular um paratesco mesmo analagico entre os procedimentos do matemµtico e do filasofo se esse o sintoma as suas causas se distribuem numa srie coerente d e teses que a filosofia kantiana vai assumindo no discurso da crotica da razco pura a primeira dessas teses o carµter construtivo da matemµtica colocase com ele um paralelismo entre o trabalho do enten µ diferenciarse do matemµtico por virtude da sua forma essa segunda tese kantiana assume sua forma mais completa e mais significativa uma vez que se torna explocita a relaco disso com a teoriakantiana do juozo mostrarseµ que a concepco do juozo e as suas implicaaes na anµlise dos princopios o pilar da separaco entre matemµtica e filosofia,0.9510004433513339
141,2,o pensamento filsofico politico de joao pinheiro da silva,a relevancia deste projeto decorre do interesse em compreender o momento filosofico e politico experimentado em minas gerais no ultimo quartel so seculoxixquando a partir do denominado surto de ideias nova s ocoriida na decada de do seculo passadonovos debates irao aflorar no brasilesta epoca se caracterizava pela decadencia da meditacao filsofica do ecletismo e consequentemente do imperio constitucional de dpedro ii que de certa formasustentavase nesta corrente filosoficaduas vertentes do fundamentais irao ocorrer a partir da decada de a ascencao do positivismo e do republicanismo e o chamado culturaslism pletamente a importancia de suas contribuicaonao obstante o levantamento de sua ideias politicas realizadas por francisco de assis barbozaobservaseatualmentegrande empenho por parte da iteligencia brasilei ra em discutir e avaliar a contribuicao de filosofos e politicos para o clareamento da filsofia brasileira e nesse sentidoo presente estudo pretende contribuir com uma modesta parcela,0.944391680463011
8429,2,o no corpvs vitruvio e as estruturas do universo no tratado de arquitetura,a pesquisa investiga a arquitetura do universo tal como proposta por vitruvio no seculo i ac sao apresentadas as artes e disciplinas da arquitetura vinculadas as praticas da gnomonica e o contexto que envolve o arquiteto na antiguidade tal como alguns aspectos politicos e religiosos que integram o discurso das estruturas do universo descritas no tratado de arquitetura sao desenvolvidas as questoes que envolvem o livro como objeto traduzido e transformado ao longo de milhares de anos e algumas reflexoes quanto aos desenhos e as pinturas mencionadas na obra tambem temos os comentarios e desenvolvimentos das questoes quanto a cosmologia junto as elaboracoes de mapas e ilustracoes a partir do conteudo descrito pelo arquiteto foram pesquisadas as teorias de autores que antecedem o periodo da obra e que forneceram os ensinamentos para a execucao das enxertias de vitruvio assim como tambem se buscou aplicar os termos que sao apresentadas como definicoes constitutivas da arquitetura ao considerarmos o livro c,0.9438060040082894
324,2,problemas e seus problemas a estrutura e a dinmica da cincia vistas sob o enfoque de soluaeo de problemas,neste trabalho sco realizadas uma apresentaco e uma anµlise crotica comparativa de toda uma classe de modelos filosaficos sobre a cioncia a saber os modelos que podem ser considerados como pertencentes ao ch amado enfoque de soluco de problemas esp o esp a concepco segundo a qual a cioncia essencialmente uma atividade de soluco de problemas e a anµlise da cioncia deve ser feita nco apenas em termos de te orias cientoficas mas sim em termos de dois tipos igualmente fundamentais de unidades epistomicas teorias e problemas o presente trabalho procura rastrear as consequoncias epistemologicamente interessantes onfase mais lagica e filosafica do que historiogrµfica ou sociolagica ao longo do texto sco abordadas questaes como o problema de se definir o que um problema cientofico a questco da individuaco dos pr oblemas o que significa solucionar um problema problemas cientoficos e seus contextos a toxonomia dos problemas cientoficos problemas conceituais a busca de um cµlculo ou medida da capacidade das teorias p ara solucionar problemas e finalmente o comportamento do esp diante de temas epistemolagicos como o realismo o progresso cientofico,0.9410732159709748
261,2,tradico e modernidade no mavel brasileiro visaes da utopia na obra de carrera tenreiro zanine e srgio rodrigues,reflexco sobre as origens e desenvolvimento do design no brasil no setor do mobiliµrio anµlise de quatro tendoncias bµsicas que esclarecem sobre mtodos empregados no projeto e execuco da mobolia moderna co rrespondendo a diferentes soluaes formais e tecnolagicos essas tendoncias presentes na obra de celso carrera joaquim teureiro jos zanine lado e srgio rodrigues possibilitam compreender a passagem do artesanato e semi artesanato muitas vezes domstica para a indestria de pequena e mdia srie a transformaco do marceneiroartesco ou do arquiteto em designer identificar no processo de modernizaco,0.9372197218605226
