category,topic,terms,nm_producao,nm_orientador,gamma
Social and Political Philosophy,39,"foucault, poder, michel, si, praticas",a arqueologia do dispositivo de poder disciplinar a partir de uma genealogia do poder na obra vigiar e punir de michel foucault,thana mara de souza,2.29
Social and Political Philosophy,39,"foucault, poder, michel, si, praticas",o discurso como elemento de articulacao entre arqueologia e genealogia,eladio constantino pablo craia,2.29
Social and Political Philosophy,39,"foucault, poder, michel, si, praticas",dispositivos escolas e infantilidade um estudo foucaultiano em escileituras,ester maria dreher heuser,2.29
Social and Political Philosophy,39,"foucault, poder, michel, si, praticas",a cura em foucault uma leitura de vigiar e punir,marcos alexandre gomes nalli,2.29
Social and Political Philosophy,39,"foucault, poder, michel, si, praticas",a disciplina nas organizacoes empresariais um estudo a luz do pensamento de michel foucault,salma tannus muchail,2.29
Social and Political Philosophy,39,"foucault, poder, michel, si, praticas",michel foucault um itinerario analitico acerca da atitude critica,marcio alves da fonseca,2.29
Social and Political Philosophy,39,"foucault, poder, michel, si, praticas",resistencias e contracondutas em michel foucault  requisito parcial para obtencao do grau de,tereza cristina barreto calomeni,2.29
Social and Political Philosophy,39,"foucault, poder, michel, si, praticas",uma investigacao acerca das punicoes em michel foucault os mecanismos que justificam a necessidade de punir,clademir luis araldi,2.29
Social and Political Philosophy,39,"foucault, poder, michel, si, praticas",michel foucault das cartografias do poder aos espacos outros,marcos alexandre gomes nalli,2.29
Social and Political Philosophy,39,"foucault, poder, michel, si, praticas",o poder e o sujeito em michel foucault da sociedade disciplinar a sociedade de controle,georgia cristina amitrano,2.29
Social and Political Philosophy,49,"marx, capital, social, producao, forma",o metabolismo social da emancipacao marx e as forcas produtivas,eduardo ferreira chagas,2.04
Social and Political Philosophy,49,"marx, capital, social, producao, forma",o misterio do real capital e trabalho assalariado,homero silveira santiago,2.04
Social and Political Philosophy,49,"marx, capital, social, producao, forma",o trabalho como estrutura fundamental do ser social na ontologia de gyorgy lukacs,adauto lopes da silva filho,2.04
Social and Political Philosophy,49,"marx, capital, social, producao, forma",as determinacoes das crises do capital na concepcao de karl marx,alcides hector rodrigues benoit,2.04
Social and Political Philosophy,49,"marx, capital, social, producao, forma",a teoria do valor em o capital de marx analise das relacoes sociais no modo de producao capitalista,jadir antunes,2.04
Social and Political Philosophy,49,"marx, capital, social, producao, forma",o papel do desenvolvimento da produtividade do trabalho no processo historico,jose pinheiro pertille,2.04
Social and Political Philosophy,49,"marx, capital, social, producao, forma",contribuicao a critica do produtivismo uma perspectiva centrada no valor de uso,mauro castelo branco de moura,2.04
Social and Political Philosophy,49,"marx, capital, social, producao, forma",a luta de classes como horror e escandalo da materialidade capitalista em marx,antonio jose romera valverde,2.04
Social and Political Philosophy,49,"marx, capital, social, producao, forma",imperialismo e estrategia revolucionaria,ana maria said,2.04
Social and Political Philosophy,49,"marx, capital, social, producao, forma",a dialetica da natureza de marx o antagonismo entre capital e natureza,edgard jose jorge filho,2.04
Social and Political Philosophy,33,"politica, estado, democracia, politico, poder",o paradoxo da democracia constitucional e a tensao entre o direito e a politica na filosofia politica contemporanea,alessandro pinzani,1.89
Social and Political Philosophy,33,"politica, estado, democracia, politico, poder",o estado social de igualdade e o regime politico democratico em alexis de tocqueville,maria isabel de magalhaes papaterra limongi,1.89
Social and Political Philosophy,33,"politica, estado, democracia, politico, poder",democracia representativa consenso e conflito em j s mill,alberto ribeiro goncalves de barros,1.89
Social and Political Philosophy,33,"politica, estado, democracia, politico, poder",ensaio sobre o poder democrarico democracia e despotismo em tocqueville,milton meira do nascimento,1.89
Social and Political Philosophy,33,"politica, estado, democracia, politico, poder",fundamentos do pensamento democratico de jacques maritain,joao carlos kfouri quartim de moraes,1.89
Social and Political Philosophy,33,"politica, estado, democracia, politico, poder",liberalismo e perfectibilidade a critica etica de john stuart mill ao estado minimo,luis alberto peluso,1.89
Social and Political Philosophy,33,"politica, estado, democracia, politico, poder",participacao politica como exercicio de cidadania,renato janine ribeiro,1.89
Social and Political Philosophy,33,"politica, estado, democracia, politico, poder",o horizonte politico de guicciardini entre maquiavel e giannotti,antonio jose romera valverde,1.89
Social and Political Philosophy,33,"politica, estado, democracia, politico, poder",a teoria da democracia racional em rui barbosa,joel pimentel de ulhoa,1.89
Social and Political Philosophy,33,"politica, estado, democracia, politico, poder",stado democratico em norberto bobbio um dialogo com os jusnaturalistas,joao carlos kfouri quartim de moraes,1.89
Social and Political Philosophy,48,"arendt, politica, hannah, acao, mundo",a formacao dos juizos eticos nos ciberespacos das relacoes humanas sob o vies da compreensao politica de hannah arendt,marta rios alves nunes da costa,1.77
Social and Political Philosophy,48,"arendt, politica, hannah, acao, mundo",nos humanos a pluralidade em a condicao humana,silvana de souza ramos,1.77
Social and Political Philosophy,48,"arendt, politica, hannah, acao, mundo",hannah arendt legitimidade e politica,adriano correia silva,1.77
Social and Political Philosophy,48,"arendt, politica, hannah, acao, mundo",a questao do mal em hannah arendt,paulo cesar nodari,1.77
Social and Political Philosophy,48,"arendt, politica, hannah, acao, mundo",a categoria da acao politica em hannah arendt,marcelo perine,1.77
Social and Political Philosophy,48,"arendt, politica, hannah, acao, mundo",a forca e a fraqueza do espirito pensamento banalidade do mal e a vitoria do animal laborans,tarcilio ciotta,1.77
Social and Political Philosophy,48,"arendt, politica, hannah, acao, mundo",a acao e o contar historias no pensamento de hannah arendt,eduardo jardim de moraes,1.77
Social and Political Philosophy,48,"arendt, politica, hannah, acao, mundo",autoridade e totalitarismo segundo hannah arendt,adriano correia silva,1.77
Social and Political Philosophy,48,"arendt, politica, hannah, acao, mundo",a ruptura totalitaria antissemitismo imperialismo e banalizacao do mal,humberto aparecido de oliveira guido,1.77
Social and Political Philosophy,48,"arendt, politica, hannah, acao, mundo",hannah arendt leo strauss e o estatuto do problema da normatividade na teoria politica,helton machado adverse,1.77
Social and Political Philosophy,12,"rousseau, religiao, educacao, natureza, estado",o caso rousseau aspectos da condenacao de rousseau em genebra,jose benedito de almeida junior,1.64
Social and Political Philosophy,12,"rousseau, religiao, educacao, natureza, estado",a falencia da razao o fracasso da razao na lettre a dalembert sur le theatre francais de jeanjacques rousseau,maria constanca peres pissarra,1.64
Social and Political Philosophy,12,"rousseau, religiao, educacao, natureza, estado",a corrupcao e a perfectibilidade a questao em jeanjacques rousseau,newton bignotto de souza,1.64
